filename,weapon_model,rarity,date,factory_new_pice,link
CZ75-Auto_Victoria.png,CZ75-Auto,Covert,2014-02-12 00:00:00,8.55,https://www.csgodatabase.com/skins/cz75-auto-victoria/
CZ75-Auto_The_Fuschia_Is_Now.png,CZ75-Auto,Classified,2014-02-12 00:00:00,59.8,https://www.csgodatabase.com/skins/cz75-auto-the-fuschia-is-now/
CZ75-Auto_Yellow_Jacket.png,CZ75-Auto,Classified,2015-05-26 00:00:00,12.2,https://www.csgodatabase.com/skins/cz75-auto-yellow-jacket/
CZ75-Auto_Xiangliu.png,CZ75-Auto,Classified,2017-03-15 00:00:00,9.89,https://www.csgodatabase.com/skins/cz75-auto-xiangliu/
CZ75-Auto_Tread_Plate.png,CZ75-Auto,Restricted,2014-02-12 00:00:00,9.15,https://www.csgodatabase.com/skins/cz75-auto-tread-plate/
CZ75-Auto_Chalice.png,CZ75-Auto,Restricted,2014-07-01 00:00:00,400.0,https://www.csgodatabase.com/skins/cz75-auto-chalice/
CZ75-Auto_Tigris.png,CZ75-Auto,Restricted,2014-07-01 00:00:00,1.74,https://www.csgodatabase.com/skins/cz75-auto-tigris/
CZ75-Auto_Pole_Position.png,CZ75-Auto,Restricted,2015-04-15 00:00:00,1.22,https://www.csgodatabase.com/skins/cz75-auto-pole-position/
CZ75-Auto_Red_Astor.png,CZ75-Auto,Restricted,2016-04-27 00:00:00,1.75,https://www.csgodatabase.com/skins/cz75-auto-red-astor/
CZ75-Auto_Tacticat.png,CZ75-Auto,Restricted,2017-09-14 00:00:00,1.33,https://www.csgodatabase.com/skins/cz75-auto-tacticat/
CZ75-Auto_Eco.png,CZ75-Auto,Restricted,2018-08-03 00:00:00,2.32,https://www.csgodatabase.com/skins/cz75-auto-eco/
CZ75-Auto_Crimson_Web.png,CZ75-Auto,Mil-spec,2014-02-12 00:00:00,15.34,https://www.csgodatabase.com/skins/cz75-auto-crimson-web/
CZ75-Auto_Tuxedo.png,CZ75-Auto,Mil-spec,2014-05-01 00:00:00,3.04,https://www.csgodatabase.com/skins/cz75-auto-tuxedo/
CZ75-Auto_Nitro.png,CZ75-Auto,Mil-spec,2014-07-01 00:00:00,23.19,https://www.csgodatabase.com/skins/cz75-auto-nitro/
CZ75-Auto_Emerald.png,CZ75-Auto,Mil-spec,2015-05-26 00:00:00,6.97,https://www.csgodatabase.com/skins/cz75-auto-emerald/
CZ75-Auto_Poison_Dart.png,CZ75-Auto,Mil-spec,2014-05-01 00:00:00,2.78,https://www.csgodatabase.com/skins/cz75-auto-poison-dart/
