filename,category,permalink,description
CZ75-Auto_Victoria.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-victoria/,"Introduced: 12-Feb-2014, Price for factory new: 8.55$, Rarity: Covert, Weapon Model: CZ75-Auto"
CZ75-Auto_The_Fuschia_Is_Now.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-the-fuschia-is-now/,"Introduced: 12-Feb-2014, Price for factory new: 59.8$, Rarity: Classified, Weapon Model: CZ75-Auto"
CZ75-Auto_Yellow_Jacket.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-yellow-jacket/,"Introduced: 26-May-2015, Price for factory new: 12.2$, Rarity: Classified, Weapon Model: CZ75-Auto"
CZ75-Auto_Xiangliu.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-xiangliu/,"Introduced: 15-Mar-2017, Price for factory new: 9.89$, Rarity: Classified, Weapon Model: CZ75-Auto"
CZ75-Auto_Tread_Plate.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-tread-plate/,"Introduced: 12-Feb-2014, Price for factory new: 9.15$, Rarity: Restricted, Weapon Model: CZ75-Auto"
CZ75-Auto_Chalice.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-chalice/,"Introduced: 01-Jul-2014, Price for factory new: 400.0$, Rarity: Restricted, Weapon Model: CZ75-Auto"
CZ75-Auto_Tigris.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-tigris/,"Introduced: 01-Jul-2014, Price for factory new: 1.74$, Rarity: Restricted, Weapon Model: CZ75-Auto"
CZ75-Auto_Pole_Position.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-pole-position/,"Introduced: 15-Apr-2015, Price for factory new: 1.22$, Rarity: Restricted, Weapon Model: CZ75-Auto"
CZ75-Auto_Red_Astor.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-red-astor/,"Introduced: 27-Apr-2016, Price for factory new: 1.75$, Rarity: Restricted, Weapon Model: CZ75-Auto"
CZ75-Auto_Tacticat.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-tacticat/,"Introduced: 14-Sep-2017, Price for factory new: 1.33$, Rarity: Restricted, Weapon Model: CZ75-Auto"
CZ75-Auto_Eco.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-eco/,"Introduced: 03-Aug-2018, Price for factory new: 2.32$, Rarity: Restricted, Weapon Model: CZ75-Auto"
CZ75-Auto_Crimson_Web.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-crimson-web/,"Introduced: 12-Feb-2014, Price for factory new: 15.34$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Tuxedo.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-tuxedo/,"Introduced: 01-May-2014, Price for factory new: 3.04$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Nitro.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-nitro/,"Introduced: 01-Jul-2014, Price for factory new: 23.19$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Emerald.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-emerald/,"Introduced: 26-May-2015, Price for factory new: 6.97$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Poison_Dart.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-poison-dart/,"Introduced: 01-May-2014, Price for factory new: 2.78$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Twist.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-twist/,"Introduced: 11-Jun-2014, Price for factory new: 1.49$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Hexane.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-hexane/,"Introduced: 10-Jul-2014, Price for factory new: 2.9$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Imprint.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-imprint/,"Introduced: 18-Aug-2016, Price for factory new: 0.31$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Polymer.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-polymer/,"Introduced: 28-Nov-2016, Price for factory new: 0.32$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Emerald_Quartz.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-emerald-quartz/,"Introduced: 18-Nov-2019, Price for factory new: 49.57$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Distressed.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-distressed/,"Introduced: 31-Mar-2020, Price for factory new: 0.3$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Vendetta.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-vendetta/,"Introduced: 03-Dec-2020, Price for factory new: 0.59$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Circaetus.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-circaetus/,"Introduced: 03-May-2021, Price for factory new: 2.38$, Rarity: Mil-spec, Weapon Model: CZ75-Auto"
CZ75-Auto_Silver.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-silver/,"Introduced: 03-Dec-2020, Price for factory new: 1.32$, Rarity: Industrial, Weapon Model: CZ75-Auto"
CZ75-Auto_Green_Plaid.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-green-plaid/,"Introduced: 01-Jul-2014, Price for factory new: 2.08$, Rarity: Consumer, Weapon Model: CZ75-Auto"
CZ75-Auto_Army_Sheen.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-army-sheen/,"Introduced: 26-May-2015, Price for factory new: 1.53$, Rarity: Consumer, Weapon Model: CZ75-Auto"
CZ75-Auto_Indigo.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-indigo/,"Introduced: 18-Nov-2019, Price for factory new: 2.71$, Rarity: Consumer, Weapon Model: CZ75-Auto"
CZ75-Auto_Jungle_Dashed.png,CZ75-Auto,https://www.csgodatabase.com/skins/cz75-auto-jungle-dashed/,"Introduced: 03-Dec-2020, Price for factory new: 0.95$, Rarity: Consumer, Weapon Model: CZ75-Auto"
Desert_Eagle_Golden_Koi.png,Desert_Eagle,https://www.csgodatabase.com/skins/desert-eagle-golden-koi/,"Introduced: 19-Sep-2013, Price for factory new: 41.02$, Rarity: Covert, Weapon Model: Desert_Eagle"
Desert_Eagle_Code_Red.png,Desert_Eagle,https://www.csgodatabase.com/skins/desert-eagle-code-red/,"Introduced: 03-Aug-2018, Price for factory new: 87.95$, Rarity: Covert, Weapon Model: Desert_Eagle"
Desert_Eagle_Printstream.png,Desert_Eagle,https://www.csgodatabase.com/skins/desert-eagle-printstream/,"Introduced: 06-Aug-2020, Price for factory new: 177.99$, Rarity: Covert, Weapon Model: Desert_Eagle"
Desert_Eagle_Hypnotic.png,Desert_Eagle,https://www.csgodatabase.com/skins/desert-eagle-hypnotic/,"Introduced: 14-Aug-2013, Price for factory new: 87.48$, Rarity: Classified, Weapon Model: Desert_Eagle"
